Radial Distribution Function for Experiment: Ferritin_PBS_30mgml_position1
Original Path: /Users/ekaterina/git/Calculations/Ferritin_PBS_30mgml_position1/Ferritin_PBS_30mgml_position1.txt
Radial Bin Width: 0.1
Radial Distribution Function:
#r [nm]	 g(r)
0.0	0.0
0.5050505050505051	0.0
1.0101010101010102	0.0
1.5151515151515151	0.0
2.0202020202020203	0.0
2.525252525252525	0.0
3.0303030303030303	0.0
3.5353535353535355	0.0
4.040404040404041	0.0
4.545454545454546	0.0
5.05050505050505	0.0
5.555555555555555	0.0
6.0606060606060606	0.0
6.565656565656566	0.0
7.070707070707071	0.0
7.575757575757576	0.019599572630409318
8.080808080808081	0.0
8.585858585858587	0.015259231909118189
9.090909090909092	0.013610874712710377
9.595959595959595	0.0
10.1010101010101	0.03817799967693443
10.606060606060606	0.09738272658322301
11.11111111111111	0.16229495548243045
11.616161616161616	0.18888055839927587
12.121212121212121	0.468831789479804
12.626262626262626	0.7424691207471605
13.131313131313131	1.172989912938462
13.636363636363637	1.2419974255095327
14.141414141414142	1.2737915629264565
14.646464646464647	1.5275659399263208
15.151515151515152	1.3550762917783084
15.656565656565656	1.3421100058301876
16.161616161616163	1.2884413651509177
16.666666666666668	1.1972561272909794
17.171717171717173	1.2524200523346305
17.67676767676768	1.1860831742634081
18.181818181818183	1.091578681814814
18.68686868686869	1.048594140134267
19.19191919191919	0.964750921018754
19.696969696969695	0.9655402049887484
20.2020202020202	0.8773434423686319
20.707070707070706	1.0051597358930016
21.21212121212121	0.902126411733658
21.717171717171716	0.8719631290859164
22.22222222222222	0.9316325208131189
22.727272727272727	0.8902422142400946
23.232323232323232	0.8675965107138568
23.737373737373737	0.9034128463928426
24.242424242424242	0.9400930981058979
24.747474747474747	0.9610006837143455
25.252525252525253	0.8937541974014006
25.757575757575758	0.9491840284688612
26.262626262626263	0.9694838118885122
26.767676767676768	0.9465168519959372
27.272727272727273	1.0456758586696933
27.77777777777778	1.0054662701895585
28.282828282828284	1.0960583742137116
28.78787878787879	1.016844503399846
29.292929292929294	1.0443489791289915
29.7979797979798	0.950820204451456
30.303030303030305	0.9786795631445712
30.80808080808081	1.0202267389789812
31.31313131313131	1.0386248492488623
31.818181818181817	0.9596274058318779
32.323232323232325	0.9766301923884629
32.82828282828283	0.980459788564568
33.333333333333336	0.9432939571177309
33.83838383838384	0.9788602520607801
34.343434343434346	0.9737762502285554
34.84848484848485	0.9828994728393202
35.35353535353536	0.9747702402409871
35.85858585858586	0.9842385764784011
36.36363636363637	1.0052208231288535
36.86868686868687	0.9533379172498613
37.37373737373738	0.9651318040995343
37.878787878787875	0.9915027877284417
38.38383838383838	0.9771556304827377
38.888888888888886	1.0163056971100497
39.39393939393939	1.0525370184223635
39.898989898989896	0.9511989631523968
40.4040404040404	0.9895958187410187
40.90909090909091	1.0043334098483003
41.41414141414141	0.9634957409666339
41.91919191919192	1.018719906521761
42.42424242424242	0.9712914816120533
42.92929292929293	0.9627703700076408
43.43434343434343	0.9769430355688604
43.93939393939394	1.0300027662000355
44.44444444444444	1.0351744698348024
44.94949494949495	1.0378747644761073
45.45454545454545	0.9902924289552699
45.95959595959596	0.9957117411378088
46.464646464646464	0.9668068997851206
46.96969696969697	0.9542845032726958
47.474747474747474	0.9766697528467978
47.97979797979798	0.9910780087911422
48.484848484848484	1.0175223480787556
48.98989898989899	1.046227457974733
49.494949494949495	1.0372382816593129
50.0	1.021758181943717
